timestamp,class
29.84,intruder
29.84,intruder
29.88,intruder
29.88,intruder
29.92,intruder
29.92,intruder
29.96,intruder
29.96,intruder
30.0,intruder
30.0,intruder
30.04,intruder
30.04,intruder
30.08,intruder
30.08,intruder
30.12,intruder
30.12,intruder
30.16,intruder
30.16,intruder
30.2,intruder
30.2,intruder
30.24,intruder
30.24,intruder
30.28,intruder
30.28,intruder
30.32,intruder
30.32,intruder
30.36,intruder
30.36,intruder
30.4,intruder
30.4,intruder
30.44,intruder
30.44,intruder
30.48,intruder
30.48,intruder
30.52,intruder
30.52,intruder
30.56,intruder
30.56,intruder
30.6,intruder
30.6,intruder
30.64,intruder
30.64,intruder
30.68,intruder
30.68,intruder
30.72,intruder
30.72,intruder
30.76,intruder
30.76,intruder
30.8,intruder
30.8,intruder
30.84,intruder
30.84,intruder
30.88,intruder
30.88,intruder
30.92,intruder
30.92,intruder
30.96,intruder
30.96,intruder
31.0,intruder
31.0,intruder
31.04,intruder
31.04,intruder
31.08,intruder
31.12,intruder
31.12,intruder
31.16,intruder
31.16,intruder
31.2,intruder
31.2,intruder
31.24,intruder
31.24,intruder
31.28,intruder
31.28,intruder
31.32,intruder
31.32,intruder
31.36,intruder
31.36,intruder
31.4,intruder
31.4,intruder
31.44,intruder
31.44,intruder
31.48,intruder
31.48,intruder
31.52,intruder
31.52,intruder
31.56,intruder
31.56,intruder
31.6,intruder
31.6,intruder
31.64,intruder
31.64,intruder
31.68,intruder
31.68,intruder
31.72,intruder
31.72,intruder
31.76,intruder
31.76,intruder
31.8,intruder
31.8,intruder
31.84,intruder
31.84,intruder
31.88,intruder
31.88,intruder
31.92,intruder
31.92,intruder
31.96,intruder
31.96,intruder
32.0,intruder
32.0,intruder
32.04,intruder
32.04,intruder
32.08,intruder
32.08,intruder
32.12,intruder
32.12,intruder
32.16,intruder
32.16,intruder
32.2,intruder
32.2,intruder
32.24,intruder
32.24,intruder
32.28,intruder
32.28,intruder
32.32,intruder
32.32,intruder
32.36,intruder
32.36,intruder
32.4,intruder
32.4,intruder
32.44,intruder
32.44,intruder
32.48,intruder
32.52,intruder
32.56,intruder
32.56,intruder
32.6,intruder
32.6,intruder
32.64,intruder
32.64,intruder
32.68,intruder
32.72,intruder
32.76,intruder
32.8,intruder
32.84,intruder
32.88,intruder
32.92,intruder
32.96,intruder
33.0,intruder
33.04,intruder
33.08,intruder
33.12,intruder
33.4,intruder
33.44,intruder
33.48,intruder
33.52,intruder
33.68,intruder
33.72,intruder
33.76,intruder
33.8,intruder
33.84,intruder
33.88,intruder
33.92,intruder
33.96,intruder
34.0,intruder
34.0,intruder
34.04,intruder
34.04,intruder
34.08,intruder
34.08,intruder
34.12,intruder
34.12,intruder
34.6,intruder
34.64,intruder
35.08,intruder
35.12,intruder
38.16,intruder
38.2,intruder
38.24,intruder
38.28,intruder
38.32,intruder
44.92,intruder
44.96,intruder
45.36,intruder
45.4,intruder
45.52,intruder
45.56,intruder
45.6,intruder
45.64,intruder
45.68,intruder
45.72,intruder
45.76,intruder
45.8,intruder
45.84,intruder
45.88,intruder
45.92,intruder
45.96,intruder
46.0,intruder
46.04,intruder
46.08,intruder
46.12,intruder
46.16,intruder
46.2,intruder
46.24,intruder
46.28,intruder
46.32,intruder
46.36,intruder
46.4,intruder
46.44,intruder
46.48,intruder
46.52,intruder
46.56,intruder
46.6,intruder
46.64,intruder
46.68,intruder
46.72,intruder
46.76,intruder
46.8,intruder
46.84,intruder
46.88,intruder
46.92,intruder
46.96,intruder
47.0,intruder
47.04,intruder
47.08,intruder
47.12,intruder
47.16,intruder
47.2,intruder
47.24,intruder
47.28,intruder
47.32,intruder
47.36,intruder
47.4,intruder
47.44,intruder
47.48,intruder
47.52,intruder
47.6,intruder
47.64,intruder
47.68,intruder
48.16,intruder
48.2,intruder
48.24,intruder
48.28,intruder
48.32,intruder
48.88,intruder
48.92,intruder
48.96,intruder
49.0,intruder
49.04,intruder
49.08,intruder
49.44,intruder
49.48,intruder
49.52,intruder
49.56,intruder
49.6,intruder
49.64,intruder
49.68,intruder
49.72,intruder
49.76,intruder
49.8,intruder
49.84,intruder
49.88,intruder
49.92,intruder
49.96,intruder
50.0,intruder
50.04,intruder
50.08,intruder
50.12,intruder
50.16,intruder
50.2,intruder
50.24,intruder
50.28,intruder
50.32,intruder
50.36,intruder
50.4,intruder
50.44,intruder
50.48,intruder
50.52,intruder
50.56,intruder
50.6,intruder
50.64,intruder
50.68,intruder
50.72,intruder
50.76,intruder
50.8,intruder
50.84,intruder
50.88,intruder
50.92,intruder
50.96,intruder
51.0,intruder
51.04,intruder
51.08,intruder
51.12,intruder
51.16,intruder
51.2,intruder
51.24,intruder
51.28,intruder
51.32,intruder
51.36,intruder
51.4,intruder
51.44,intruder
51.48,intruder
51.52,intruder
51.56,intruder
51.6,intruder
51.64,intruder
51.68,intruder
51.72,intruder
51.76,intruder
51.8,intruder
51.84,intruder
51.88,intruder
51.92,intruder
51.96,intruder
52.0,intruder
52.04,intruder
52.08,intruder
52.12,intruder
52.12,intruder
52.16,intruder
